species subject1 subject2 sharedStrainFishing
Guyana_massiliensis_60772 YEB YEC FALSE
Guyana_massiliensis_60772 ZEA ZEB FALSE
Lachnospiraceae_bacterium_51870 ZAA ZAB FALSE
Lachnospiraceae_bacterium_51870 ZEA ZEC FALSE
Odoribacter_splanchnicus_62174 XCA XCB FALSE
Odoribacter_splanchnicus_62174 XDA XDB FALSE
Odoribacter_splanchnicus_62174 XEA XEB FALSE
Odoribacter_splanchnicus_62174 XHA XHB FALSE
Odoribacter_splanchnicus_62174 XRA XRB FALSE
Odoribacter_splanchnicus_62174 XTA XTB FALSE
Odoribacter_splanchnicus_62174 XUA XUB FALSE
Odoribacter_splanchnicus_62174 XVA XVB TRUE
Odoribacter_splanchnicus_62174 YAB YAC TRUE
Odoribacter_splanchnicus_62174 YAB YAD TRUE
Odoribacter_splanchnicus_62174 YBA YBB FALSE
Odoribacter_splanchnicus_62174 ZAA ZAB FALSE
Odoribacter_splanchnicus_62174 ZCA ZCB FALSE
Odoribacter_splanchnicus_62174 ZDA ZDB FALSE
Odoribacter_splanchnicus_62174 ZEA ZEC FALSE
Oscillibacter_sp_60799 XEA XEB FALSE
Oscillibacter_sp_60799 XGA XGC TRUE
Oscillibacter_sp_60799 XIA XIB FALSE
Oscillibacter_sp_60799 XIA XIC TRUE
Oscillibacter_sp_60799 XIB XIC TRUE
Oscillibacter_sp_60799 XPA XPB FALSE
Oscillibacter_sp_60799 XUA XUB FALSE
Oscillibacter_sp_60799 ZCA ZCB TRUE
Oscillibacter_sp_60799 ZEA ZEC FALSE
Parabacteroides_distasonis_56985 XAA XAC FALSE
Parabacteroides_distasonis_56985 XAA XAD FALSE
Parabacteroides_distasonis_56985 XAC XAD FALSE
Parabacteroides_distasonis_56985 XBA XBB TRUE
Parabacteroides_distasonis_56985 XDA XDB FALSE
Parabacteroides_distasonis_56985 XFA XFB TRUE
Parabacteroides_distasonis_56985 XGB XGC TRUE
Parabacteroides_distasonis_56985 XLA XLB TRUE
