species_id subject1 strainSharedAnyTimepoint strainSharedPreAbx strainSharedPostAbx strainSharedMain strainSharedFollowup strainSharedPostAbxFollowup
Bacteroides_finegoldii_57739 XQB TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_finegoldii_57739 ZAB FALSE NA NA NA FALSE FALSE
Bacteroides_finegoldii_57739 ZAC FALSE NA NA NA FALSE FALSE
Bacteroides_fragilis_54507 XAA FALSE FALSE FALSE FALSE FALSE FALSE
Bacteroides_fragilis_54507 XAD FALSE FALSE FALSE FALSE FALSE FALSE
Bacteroides_fragilis_54507 XBA TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_fragilis_54507 XBB TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_fragilis_54507 XDA FALSE FALSE FALSE FALSE FALSE FALSE
Bacteroides_fragilis_54507 XDB FALSE FALSE FALSE FALSE FALSE FALSE
Bacteroides_fragilis_54507 XLA TRUE TRUE NA TRUE NA TRUE
Bacteroides_fragilis_54507 XLB TRUE TRUE NA TRUE NA TRUE
Bacteroides_fragilis_54507 XSA TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_fragilis_54507 XSB TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_fragilis_54507 YCA TRUE TRUE TRUE TRUE NA TRUE
Bacteroides_fragilis_54507 YCB TRUE TRUE TRUE TRUE NA TRUE
Bacteroides_fragilis_54507 ZEA FALSE FALSE FALSE FALSE NA FALSE
Bacteroides_fragilis_54507 ZEB FALSE FALSE FALSE FALSE NA FALSE
Bacteroides_massiliensis_44749 XCA FALSE FALSE FALSE FALSE FALSE FALSE
Bacteroides_massiliensis_44749 XCB FALSE FALSE FALSE FALSE FALSE FALSE
Bacteroides_massiliensis_44749 XEA TRUE TRUE NA TRUE NA NA
Bacteroides_massiliensis_44749 XEB TRUE TRUE NA TRUE NA NA
Bacteroides_massiliensis_44749 XHA FALSE FALSE FALSE FALSE NA FALSE
Bacteroides_massiliensis_44749 XHB FALSE FALSE FALSE FALSE NA FALSE
Bacteroides_massiliensis_44749 XHC FALSE FALSE FALSE FALSE NA FALSE
Bacteroides_massiliensis_44749 XIB FALSE FALSE FALSE FALSE FALSE FALSE
Bacteroides_massiliensis_44749 XIC FALSE FALSE FALSE FALSE FALSE FALSE
Bacteroides_massiliensis_44749 XLA TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_massiliensis_44749 XLB TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_massiliensis_44749 XNA TRUE TRUE TRUE TRUE NA TRUE
Bacteroides_massiliensis_44749 XNB TRUE TRUE TRUE TRUE NA TRUE
Bacteroides_massiliensis_44749 XQA TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_massiliensis_44749 XQB TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_massiliensis_44749 ZAA FALSE NA NA NA FALSE FALSE
Bacteroides_massiliensis_44749 ZAB FALSE NA NA NA FALSE FALSE
Bacteroides_nordii_55557 XFA FALSE NA NA NA NA NA
Bacteroides_nordii_55557 XFB FALSE NA NA NA NA NA
Bacteroides_nordii_55557 XQA FALSE NA FALSE FALSE NA FALSE
Bacteroides_nordii_55557 XQB FALSE NA FALSE FALSE NA FALSE
Bacteroides_nordii_55557 XVA TRUE NA TRUE TRUE NA TRUE
