species_id sample1 strainSharedAnyTimepoint
Alistipes_putredinis_61533 XGA-029 TRUE
Alistipes_putredinis_61533 XGA-030 TRUE
Alistipes_putredinis_61533 XGA-039 TRUE
Alistipes_putredinis_61533 XGA-044 TRUE
Alistipes_putredinis_61533 XGA-050 TRUE
Alistipes_putredinis_61533 XGA-057 TRUE
Alistipes_putredinis_61533 XGA-064 TRUE
Alistipes_putredinis_61533 XGA-252 TRUE
Alistipes_putredinis_61533 XGA-364 TRUE
Alistipes_putredinis_61533 XGA-428 TRUE
Alistipes_putredinis_61533 XGB-001 TRUE
Alistipes_putredinis_61533 XGB-029 TRUE
Alistipes_putredinis_61533 XGB-036 TRUE
Alistipes_putredinis_61533 XGB-064 TRUE
Alistipes_putredinis_61533 XGB-252 TRUE
Alistipes_putredinis_61533 XGB-365 TRUE
Alistipes_putredinis_61533 XGB-428 TRUE
Alistipes_putredinis_61533 XGC-001 FALSE
Alistipes_putredinis_61533 XGC-029 FALSE
Alistipes_putredinis_61533 XGC-037 FALSE
Alistipes_putredinis_61533 XGC-064 FALSE
Alistipes_putredinis_61533 XGC-252 FALSE
Alistipes_putredinis_61533 XGC-364 FALSE
Alistipes_putredinis_61533 XGC-428 FALSE
Alistipes_putredinis_61533 XIA-002 TRUE
Alistipes_putredinis_61533 XIA-008 TRUE
Alistipes_putredinis_61533 XIA-015 TRUE
Alistipes_putredinis_61533 XIA-022 TRUE
Alistipes_putredinis_61533 XIA-023 TRUE
Alistipes_putredinis_61533 XIA-024 TRUE
Alistipes_putredinis_61533 XIA-025 TRUE
Alistipes_putredinis_61533 XIA-026 TRUE
Alistipes_putredinis_61533 XIA-027 TRUE
Alistipes_putredinis_61533 XIA-028 TRUE
Alistipes_putredinis_61533 XIA-029 TRUE
Alistipes_putredinis_61533 XIA-057 TRUE
Alistipes_putredinis_61533 XIA-064 TRUE
Alistipes_putredinis_61533 XIB-002 TRUE
Alistipes_putredinis_61533 XIB-029 TRUE
Alistipes_putredinis_61533 XIB-036 TRUE
